employee_id,manager_email,department,status,salary_eur
EMP-1001,,Finance,terminated,0.00
EMP-1002,manager2@corp.example,Sales,active,30725.95
EMP-1003,manager3@corp.example,Sales,active,47654.09
EMP-1004,manager4@corp.example,Ops,active,54576.32
EMP-1003,manager0@corp.example,Sales,active,46643.98
EMP-1006,manager1@corp.example,Sales,active,34259.22
EMP-1007,manager2@corp.example,Sales,active,54332.09
EMP-1008,manager3@corp.example,Sales,active,58028.93
EMP-1009,manager4@corp.example,Sales,active,57093.45
EMP-1010,manager0@corp.example,Ops,active,49883.29
EMP-1011,manager1@corp.example,Finance,active,65335.84
EMP-1012,manager2@corp.example,Engineering,active,42111.71
EMP-1013,manager3@corp.example,Finance,active,41533.07
EMP-1014,manager4@corp.example,Sales,active,35753.22
EMP-1015,manager0@corp.example,Ops,active,73214.90
EMP-1016,manager1@corp.example,Finance,active,44458.38
EMP-1017,manager2@corp.example,Ops,active,32399.01
EMP-1018,manager3@corp.example,Sales,active,60970.13
EMP-1019,manager4@corp.example,Ops,active,46132.20
EMP-1020,manager0@corp.example,Sales,terminated,0.00
EMP-1021,manager1@corp.example,Ops,active,64106.95
EMP-1022,manager2@corp.example,Engineering,active,71090.36
EMP-1023,manager3@corp.example,Engineering,active,53823.68
EMP-1024,manager4@corp.example,Ops,terminated,0.00
EMP-1025,manager0@corp.example,Finance,active,45880.74
EMP-1026,manager1@corp.example,Sales,active,38901.97
EMP-1027,manager2@corp.example,Ops,terminated,0.00
EMP-1028,manager3@corp.example,Engineering,active,45354.92
EMP-1029,manager4@corp.example,Engineering,active,52228.10
EMP-1030,manager0@corp.example,Sales,active,68936.04
EMP-1031,manager1@corp.example,Ops,active,46523.64
EMP-1032,manager2@corp.example,Ops,active,31165.34
EMP-1033,manager3@corp.example,Engineering,active,56234.18
EMP-1034,manager4@corp.example,Engineering,active,72600.59
EMP-1035,manager0@corp.example,Sales,terminated,0.00
EMP-1036,manager1@corp.example,Finance,terminated,0.00
EMP-1037,manager2@corp.example,Sales,terminated,0.00
EMP-1038,manager3@corp.example,Ops,active,34773.52
EMP-1039,manager4@corp.example,Finance,active,60526.67
EMP-1040,manager0@corp.example,Engineering,terminated,0.00
